id,18~20_ride
415423,2.638472665197018
415424,6.01028052685609
415425,2.1049668565050292
415426,51.39386313873076
415427,0.0
415428,0.0
415429,0.0
415430,1.5592571442614271
415431,0.0
415432,0.0
415433,0.0
415434,0.0
415435,0.0
415436,0.0
415437,0.0
415438,0.0
415439,0.0
415440,0.0
415441,0.0
415442,2.584085880730105
415443,0.0
415444,0.0
415445,1.018417676316378
415446,1.4495735090154294
415447,0.0
415448,0.0
415449,6.27750110082498
415450,0.0
415451,0.0
415452,0.0
415453,2.1569643528499944
415454,1.0220030778188733
415455,1.2959341035656253
415456,3.4277889082735737
415457,2.219715214186517
415458,0.0
415459,2.310671757642556
415460,0.0
415461,1.5256369157028902
415462,0.0
415463,1.0078589274971617
415464,0.0
415465,1.5662119851582568
415466,3.3908415910003877
415467,0.0
415468,0.0
415469,24.11006955217345
415470,2.1876993534817704
415471,3.024724325952261
415472,2.7026411921313986
415473,3.2268176032109133
415474,0.0
415475,0.0
415476,4.74841322606989
415477,3.2644783946561655
415478,0.0
415479,0.0
415480,1.2154482564449292
415481,4.881579120784355
415482,3.1884300135001515
415483,0.0
415484,0.0
415485,1.3822191065074096
415486,16.131776037355124
415487,1.574323396911023
415488,0.0
415489,1.8070609799156623
415490,0.0
415491,0.0
415492,0.0
415493,0.0
415494,2.9423225934073116
415495,0.0
415496,19.665264813789765
415497,0.0
415498,4.498265155318173
415499,1.0582615505237707
415500,0.0
415501,0.0
415502,0.0
415503,2.105644052611532
415504,1.6243239738900002
415505,0.0
415506,1.5834301594176992
415507,2.296711861232455
415508,1.1978570198187988
415509,1.8988350035122008
415510,0.0
415511,2.724241933983018
415512,3.2107338022439285
415513,8.877866815066458
415514,0.0
415515,4.007159913914505
415516,0.0
415517,0.0
415518,0.0
415519,0.0
415520,0.0
415521,0.0
415522,0.0
415523,0.0
415524,0.0
415525,0.0
415526,0.0
415527,0.0
415528,0.0
415529,3.430950356314589
415530,12.913808766314046
415531,7.118300631668034
415532,2.097810201688064
415533,0.0
415534,4.718361131892909
415535,2.0790806074844865
415536,0.0
415537,3.639896513535295
415538,1.7785386224868924
415539,2.6743280829969445
415540,1.212490832259586
415541,0.0
415542,0.0
415543,3.12196262411313
415544,0.0
415545,6.494767184948632
415546,0.0
415547,0.0
415548,0.0
415549,0.0
415550,35.035367754633675
415551,0.0
415552,2.9003568341564625
415553,10.535270788191903
415554,2.327536858711289
415555,1.0843148823022866
415556,1.4971691398504854
415557,2.7219142112054486
415558,1.533769494952017
415559,0.0
415560,1.57320894008347
415561,0.0
415562,14.16472677447685
415563,2.3770070830742145
415564,6.919672059086087
415565,6.7145670963855695
415566,0.0
415567,1.3284754467454827
415568,1.268775493944176
415569,5.90925961641309
415570,1.7124985634588556
415571,0.0
415572,5.973724523696167
415573,0.0
415574,0.0
415575,0.0
415576,0.0
415577,0.0
415578,0.0
415579,0.0
415580,2.4306553156421153
415581,0.0
415582,0.0
415583,0.0
415584,0.0
415585,0.0
415586,0.0
415587,0.0
415588,0.0
415589,0.0
415590,0.0
415591,0.0
415592,0.0
415593,0.0
415594,0.0
415595,0.0
415596,0.0
415597,0.0
415598,0.0
415599,0.0
415600,0.0
415601,0.0
415602,0.0
415603,1.9229505056836993
415604,1.1785168115681188
415605,2.4777508542561697
415606,0.0
